keys,en,sw,kam,kik,miji,luo,bor
enter_transaction_recipient,"CON Enter phone number
0. Back","CON Weka nambari ya simu
0. Rudi","CON Ikia namba ya simu
0. Syoka itina","CON Ikira namba ya thimu
0. Coka thutha","CON Ika namba yasimu.
0. Uya Nyuma","CON Ket nambani mar simu
0. Dog chien","CON Namba ta simuu kekhai
0. Dheebi"
enter_transaction_amount,"CON Enter amount
0. Back","CON Weka kiwango
0. Rudi","CON Ikia kiwango
0. Syoka itina","CON Ikira muigana
0. Coka thutha","CON Ika chaasi.
0. Uya nyuma","CON Ket giko mari
0. Dog chien","CON kiwango kekhai
0. Dheebi"
first_account_tokens_set,"CON Choose a number or symbol from your balances:
%{first_account_tokens_set}

0. Back
11. Next
00. Exit","CON Chagua nambari au ishara kutoka kwa salio zako:
%{first_account_tokens_set}

0. Rudi
11. Mbele
00. Ondoka","Sakua Sarafu:
 %{token_list}
99. Thi mbee
00. Syoka itina","Shaghura Sarafu:
 %{token_list}
99. Mbere
00. Coka thutha","Tsagula Sarafu:
 %{token_list}
99. Enderera
00. Uya Nyuma","Yier Sarafu:
 %{token_list}
99. Nyime
00. Dog chien","Chaqui Sarafu:
 %{token_list}
99. Dhuur
00. Dheebi"
middle_account_tokens_set,"CON Choose a number or symbol from your balances:
%{middle_account_tokens_set}
11. Next
22. Previous
00. Exit","CON Chagua nambari au ishara kutoka kwa salio zako:
%{middle_account_tokens_set}
11. Mbele
22. Rudi
00. Ondoka","Sakura Sarafu:
 %{token_list}
99. Thi mbee
00. Syoka itina","Shaghura Sarafu:
 %{token_list}
99. Mbere
00. Cooka thutha","Tsagula Sarafu:
 %{token_list}
99. Enderera
00. Uya Nyuma","Yier Sarafu:
 %{token_list}
99. Nyime
00. Dog chien","Chaqui Sarafu:
 %{token_list}
99. Dhuur
00. Dheebi"
last_account_tokens_set,"CON Choose a number or symbol from your balances:
%{last_account_tokens_set}
22. Previous
00. Exit","CON Chagua nambari au ishara kutoka kwa salio zako:
%{last_account_tokens_set}
22. Rudi
00. Ondoka","Sakura sarafu:
 %{token_list}
00. Syoka itina","Sarafu:
 %{token_list}
00. Cooka thutha","Tsagula Sarafu:
 %{token_list}
00. Uya Nyuma","Yier Sarafu:
 %{token_list}
00. Dog chien","Chagua Sarafu:
 %{token_list}
00. Dheebi"
token_selection_pin_authorization.first,"CON %{token_data}
Enter pin to select:","CON %{token_data}
Weka nambari ya siri kuchagua:
0. Back","%{token_info}
Sakua kwa kwikia pin yaku:
0. Syoka itina","%{token_info}
Ekera pin yaku gushaghura:
0. Cooka thutha","%{token_info}
Ika piniyo kutsagula Sarafu:
0. Uya Nyuma","%{token_info}
Ket pin ni iyier:
0. Dog chien","%{token_info}
Pin kake khai akh dibii chaguat
0. Dheebi"
token_selection_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_management,"CON My account
1. My profile
2. Change language
3. Check balance
4. Check statement
5. PIN options
0. Back","CON Akaunti yangu
1. Wasifu wangu
2. Chagua lugha utakayotumia
3. Angalia salio
4. Angalia taarifa ya matumizi
5. Mipangilio ya nambari ya siri
0. Rudi","CON Kinandu Chakwa
1. Profile/wasifu wakwa
2. Sakua luka ila ukatumiaa
3. Syisya Mbalansi yaku
4. Syisya welesyo wa utumii
5. Chenja namba yaku ya siri
0. Syoka itina","CON Akaunti yakwa
1. Maritwa makwa
2. Shaghura rothiumu ukuhuthira
3. Rora matigari
4. Rora rugano rwa mahuthira
5. Chengia  namba ya thiri
0. Coka","CON Akaunti yangu
1. Malagizo Gangu
2. Tsagula Luga Undohumira
3. Lola Sazo
4. Lola tarifa Za Mahumizi
5. Galuza Namba Fitse
0. Uya Nyuma","CON Akaont na
1. Nyanonro mara
2. Yier dhok midwatiyogo
3. Ngi midong go
4. N'gi chal mar akaont
5. Lok nambani mopondo
0. Dog chien","CON Akaunti khiy
1. Wasifu wangu
2. Afaan dubaad chaqui
3. laali balansi
4. Angalia taarifa ya matumizi
5. Gargarch namba
0. Dheebi"
metadata_management,"CON My profile
1. Edit name
2. Edit gender
3. Edit age
4. Edit location
5. Edit products
6. View my profile
0. Back","CON Wasifu wangu
1. Weka jina
2. Weka jinsia
3. Weka umri
4. Weka eneo
5. Weka bidhaa
6. Angalia wasifu wako
0. Rudi","CON Profile/Wasifu wakwa
1. Ikia isyitwa
2. Ikia jinsia/gender yaku
3. Ikia miaka yaku
4. Ikia utui waku
5. Ikia syindu ila utesaa
6. Sisya profile/wasifu waku
0. Syoka itina","CON Maondu maku
1. Ekera ritwa
2. Ekera kana we mundurume kana mutumia
3. Ekera miaka yaku
4. Ekera kuria uikaraga
5. Ikira kiria uendagia
6. Rora maundu maku
0. Coka thutha","CON Malagizo Gangu
1. Ika dzinaro
2. Ika kala umulume ama Umuche
3. Ika umuri
4. Ika eneo
5. Ika Miyo ama viya uguzavyo
6. Lola malagizo Gangu
0. Uya nyuma","CON Wasifu wangu
1. Ket nyingi
2. Ket kit chuech mari
3. Ket iki
4. Ket kumaidake
5. Ket gikmaiuso
6. Ng'i nyanonro mara
0. Dog chien","CON Wasifu wangu
1. Maqa kekhai
2. Naam dira mo dubr
3. Gan kekhai
4. Fulaa itgalt kai
5. Mih kai
6. Angalia wasifu wako
0. Dheebi"
display_user_metadata,"CON Your details are:
Name: %{full_name}
Gender: %{gender}
Age: %{age}
Location: %{location}
You sell: %{products}
0. Back","CON Wasifu wako una maelezo yafuatayo:
  Jina: %{full_name}
  Jinsia: %{gender}
  Umri: %{age}
  Eneo: %{location}
  Unauza: %{products}
0. Rudi","CON Profile/Wasifu waku wina maelesyo aa:
 Isyitwa: %{full_name}
 Jinsia yaku/gender: %{gender}
 Miaka yaku: %{age}
 Utui/location yaku: %{location}
 Syindu ila uta: %{products}
0. Syoka itina","CON Maundu maku mena  rugano ruru:
 Maretwa: %{full_name}
 Mutumia kana muthuri: %{gender}
 Miaka : %{age}
 Kuria uikaraga : %{location}
 Kiria uendagia : %{products}
0. Coka thutha","CON Malagizo gako gana moro uthuwizirao:
 Dzina: %{full_name}
 Umuche ama Mulume: %{gender}
 Umuri: %{age}
 Umbolako: %{location}
 Miyo uguzayo: %{products}
0. Uya nyuma","CON Nyanonro mari en:
 Nying: %{full_name}
 Kit chuech: %{gender}
 Iga: %{age}
 Kumidake: %{location}
 Gima iuso: %{products}
0. Dog chien","CON Wasifu wako una maelezo yafuatayo:
 JinaMakha: %{full_name}
 Jinsia: %{gender}
 Gan: %{age}
 Fulaa : %{location}
 Maan gurgurt: %{products}
0. Dheebi"
select_preferred_language,"CON Choose language:
%{first_language_set}

0. Back
11. Next
00. Exit","CON Chagua lugha:
%{first_language_set}

0. Rudi
11. Mbele
00. Ondoka","CON Sakua luka
1. Kisungu
2. Kiswahili
3. Kikamba
0. Syoka itina","CON Caghura ruthiomi
1. Githungu
2. Githweri
0. Coka","CON Tsagula Luga
1. Kizungu
2. Kiswahili
0. Uya nyuma","CON Yier dhok
1. Dho Ngere
2. Dho Oswayo
0. Dog chien","CON Chagua lugha
1. Afaan ferenji
2. Afaan kiswahili
0. Dheebi"
retry_pin_entry,"CON Incorrect PIN entered,please try again. You have %{remaining_attempts} attempts remaining.
0. Back","CON Nambari uliyoweka si sahihi, jaribu tena. Una majaribio %{remaining_attempts} yaliyobaki.
0. Rudi","CON Namba ila wekiya iyaile, tata kwikia ingi. Tata mala %{remaining_attempts} nimo matyele.
0. Itina","CON Namba uikirite ti njega, geria ringi.Ni maita %{remaining_attempts} matigarete.
0. Gucoka thutha","CON Nambari fitse urioika seyo, jeza kaheri. Usere Majezo %{remaining_attempts} Gaserego.
0. Uya nyuma","CON Namba miketo oknikare, tem kendo. Idong gi temo di %{remaining_attempts} modong.
0. Chien","CON Namba at keket suninit,laal amalle.Nafaas kaitdheebit %tanaataf
0. Dheebi"
pin_management,"CON Pin options
1. Change PIN
2. Reset PIN
3. Guard PIN
0. Back","CON Pin options
1. Badilisha nambari yangu ya siri
2. Tuma ombili la kubadilisha nambari ya siri
3. Linda nambari ya siri
0. Rudi",,,,,
enter_current_pin.first,"CON Enter current PIN.
0. Back","CON Weka nambari ya siri.
0. Rudi","CON Ikia namba yaku ya siri.
0. Syoka itina","CON Ekera namba ya thiri
0. Coka thutha","CON Ika namba fitse.
0. Uya Nyuma","CON Ket nambani mopondo.
0. Dog chien","CON Namba ka namii imben kekhai
0. Dheebi"
enter_current_pin.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
enter_new_pin,"CON Enter your new four number PIN
0. Back","CON Weka nambari ya siri mpya
0. Rudi","CON Ikia namba yaku ya siri ila yumbya
0. Syoka itina","CON Ekera namba njeru ya thiri
0. coka thutha","CON Ika namba fitse mbisha
0. Uya nyuma","CON Ket namba mopondo maanyien.
0. Dog chien","CON Namba hareti ka namii imben kekhai
0. Dheebi"
new_pin_confirmation,"CON Enter your new four number PIN again
0. Back","CON Weka nambari yako ya siri tena
0. Rudi","CON Ikia namba yaku ya siri ingi
0. Syoka itina","CON Ekera namba yaku ya thiri renge
0. Coka thutha","CON Uyira kuika lwaphiri
0. Uya Nyuma","CON Ket nambani mopondo kendo
0. Dog chien","CON Namba hareti ka namii imben kekhai amalle
0. Dheebi"
reset_guarded_pin,"CON Enter phone number you are the guardian to reset their pin
0. Back","CON Weka nambari ya simu ili kutuma ombi la kubalisha nambari ya siri.
0. Rudi",,,,,
reset_guarded_pin_authorization.first,"CON Enter YOUR pin to confirm %{guarded_account_information}'s reset
0. Back","CON Weka nambari YAKO ya siri ili kudhibitisha ombi la kubadilisha nambari ya siri ya %{guarded_account_information}.
0. Rudi",,,,,
reset_guarded_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},,,,,
exit_pin_reset_initiated_success,"CON Success: You have initiated a PIN reset for %{guarded_account_information}
0. Back
9. Exit","CON Ombi lako la kubadili nambari ya siri ya %{guarded_account_information} limetumwa.
0. Rudi
9. Ondoka",,,,,
exit_not_authorized_for_pin_reset,"CON Failure: You are not authorized to reset that PIN. You must be a guardian!
0. Back
9. Exit","CON Huruhusiwi kutuma ombi la kubadilisha nambari ya siri.
0. Rudi
9. Ondoka",,,,,
guard_pin,"CON Pin guard
1. View guardians
2. Add guardian
3. Remove guardian
0. Back","CON Linda nambari ya siri
1. Walinzi wa namabari ya siri
2. Ongeza mlinzi
3. Ondoa mlinzi
0. Rudi",,,,,
guardian_list_pin_authorization.first,"CON Enter your pin to view set guardians
0. Back","CON Weka nambari yako ya siri ili kuona walinzi uliowaongeza
0. Rudi",,,,,
guardian_list_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},,,,,
guardian_list,"CON %{guardians_list}
0. Back
9. Exit","CON %{guardians_list}
0. Rudi
9. Ondoka",,,,,
add_guardian,"CON Enter phone number to add as pin reset guardian
0. Back","CON Weka nambari ya simu ili kuongeza mlinzi
0. Rudi",,,,,
add_guardian_pin_authorization.first,"CON Enter your pin to add %{guardian_information} as your PIN reset guardian
0. Back","CON Weka nambari YAKO ya siri ili kumwongeza %{guardian_information} kama mlinzi
0. Rudi",,,,,
add_guardian_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},,,,,
exit_guardian_addition_success,"CON Success: %{guardian_information} can now reset your PIN
0. Back
9. Exit","CON Ombi lako la kumwongeza: %{guardian_information} kama mlinzi limefanikiwa
0. Rudi
9. Ondoka",,,,,
exit_invalid_guardian_addition,"CON %{error_exit}
0. Back
9. Exit","CON %{error_exit}
0. Rudi
9. Ondoka",,,,,
remove_guardian,"CON Enter phone number to revoke guardianship:
0. Back","CON Weka nambari ya simu ili kuondoa mlinzi
0. Rudi",,,,,
remove_guardian_pin_authorization.first,"CON Enter your pin to remove %{guardian_information} as your PIN reset guardian
0. Back","CON Weka nambari YAKO ya siri ili kumwondoa %{guardian_information} kama mlinzi
0. Rudi",,,,,
remove_guardian_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},,,,,
exit_guardian_removal_success,"CON Success: %{guardian_information} PIN reset guardianship is revoked
0. Back
9. Exit","CON Ombi lako la kumwondoa: %{guardian_information} kama mlinzi limefanikiwa
0. Rudi
9. Ondoka",,,,,
exit_invalid_guardian_removal,"CON %{error_exit}
0. Back
9. Exit","CON %{error_exit}
0. Rudi
9. Ondoka",,,,,
transaction_pin_authorization.first,"CON %{recipient_information} will receive %{transaction_amount} %{token_symbol} from %{sender_information}.
Please enter your PIN to confirm.
0. Back","CON %{recipient_information} atapokea %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}.
Tafadhali weka nambari yako ya siri kudhibitisha.
0. Rudi","CON %{recipient_information} nukwata %{transaction_amount} %{token_symbol} kuma kwa %{sender_information}.
Tafadhali ikia namba yaku ya siri kuvitukithya.
0. Syoka itina","CON %{recipient_information} akuamukira %{transaction_amount} %{token_symbol} kuuma kwa %{sender_information}.
Ekera namba yaku ya thiri kuetekeria.
0. Coka thutha","CON %{recipient_information} atapokea %{transaction_amount} %{token_symbol} kutoka kwa %{sender_information}.
Unavoywa kuika nambayo fitse kugeluza.
0. Uya nyuma.","CON %{recipient_information} dhiyudo %{transaction_amount} %{token_symbol} kowuok kuom %{sender_information}.
Kiyie to ket nambani mopondo mondo iyie:
0. Dog chien","CON %{recipient_information} in argad%{transaction_amount} %{token_symbol} ir %{sender_information}.
Namba ka namii imben kekhai
0. Dheebi"
transaction_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
display_metadata_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafadhali ikia PIN yaku
0. Syoka itina","CON Ekera pin yaku
0. coka thutha","CON Unavoywa kuika namayo fitswe
0. Uya Nyuma","CON Kiyie to ket nambani mopondo
0. Dog chien","CON Namba ka namii imben kekhai
0. Dheebi"
display_metadata_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_balances_pin_authorization.first,"CON Please enter your PIN to view balances
0. Back","CON Tafadhali weka PIN yako kuona salio.
0. Rudi","CON Tafadhali ikia PIN yaku kwona utyalo.
0. Syoka itina","CON Ekera pin yaku kuona matigari maku
0. Coka ","CON Unavoywa namba fitswe kulola Sazo.
0. Uya nyuma","CON  Kiyie to ket nambani mopondo mondo ine modong'
0. Dog chien","CON Namba ka namii imbeen kekhai  ak balansi kake lalt
0. Dheebi"
account_balances_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_statement_pin_authorization.first,"CON Please enter your PIN to view statement
0. Back","CON Tafadhali weka PIN yako kuona taarifa ya matumizi.
0. Rudi","CON Tafadhali ikia PIN yaku kwona welesyo wa utumii.
0. Syoka itina","CON Ekera pin yaku kuona rugano rwa mahuthira maku
0. coka thutha","CON Unavoywa namba fitswe kupata maerezo ga mahumizi Gako.
0. Uya Nyuma","CON Kiyie to ket nambani mar siri mondo ine chenro mar tiyo.
0. Dog chien","CON Tafadhali weka PIN yako kuona taarifa ya matumizi.
0. Dheebi"
account_statement_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
name_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafadhali ikia PIN yaku
0. Syoka itina","CON Ekera pin yaku
0. coka thutha","CON Unavoywa namba fitse
0. Uya Nyuma","CON Ket nambani mopondo
0. Dog chien","CON Namba ka namii imben kekhai
0. Dheebi"
name_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
dob_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafadhali ikia PIN yaku
0. Syoka itina","CON Ekera namba yaku ya thiri
0. Rudi","CON Unavoywa namba fitswe
0. Uya nyuma","CON Kiyie to ket nambani mopondo
0. Dog chien","CON Namba kake ka namii imbeen kekhai
0. Dheebi"
dob_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
gender_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafadhali ikia PIN yaku
0. Syoka itina","CON Ekera namba yaku ya thiri
0. coka thutha","CON Unavoywa namba fitswe
0. Uya nyuma","CON Kiyie to ket nambani mopondo
0. Dog chien","CON Namba kake ka namii imbeen kekhai
0. Dheebi"
gender_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
location_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafadhali ikia PIN yaku
0. Syoka itina","CON Ekera namba yaku ya thiri
0. Coka thutha","CON Unavoywa namba fitswe
0. Uya nyuma","CON Kiyie to ket nambani mopondo
0. Dog chien","CON Namba kake ka namii imbeen kekhai
0. Dheebi"
location_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
products_edit_pin_authorization.first,"CON Please enter your PIN
0. Back","CON Tafadhali weka PIN yako
0. Rudi","CON Tafadhali ikia PIN yaku
0. Syoka itina","CON Ekera namba yaku ya thiri
0. Coka thutha","CON Unavoywa namba fitswe
0. Uya nyuma","CON Kiyie to ket nambani mopondo
0. Dog chien","CON Namba kake ka namii imbeen kekhai
0. Dheebi"
products_edit_pin_authorization.retry,%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry},%{retry_pin_entry}
account_balances.available_balance,"CON Your balances are as follows:
balance: %{available_balance} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  salio: %{available_balance} %{token_symbol}
0. Rudi","CON Utyalo waku ni uu:
 utyalo: %{available_balance} %{token_symbol}
0. Syoka itina","CON Matigari maku ni maya:
 matigari: %{available_balance} %{token_symbol}
0. coka","CON Masazogo nidzavivyo gatuwiravyo:
 Sazo: %{available_balance} %{token_symbol}
0. Uya Nyuma","CON Dong mari en:
 Dong: %{available_balance} %{token_symbol}
0. Dog chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
0. Dheebi"
account_balances.with_fees,"CON Your balances are as follows:
balances: %{available_balance} %{token_symbol}
fees: %{tax} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  salio: %{available_balance} %{token_symbol}
  ushuru: %{tax} %{token_symbol}
0. Rudi","CON Utyalo waku ni uu:
 utyalo: %{available_balance} %{token_symbol}
 tax/ushuru: %{tax} %{token_symbol}
0. Syoka itina","CON Matigari maku ni maya:
 matigari: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
0. coka thutha","CON Masazogo ni gatuwirago:
 Masazo: %{available_balance} %{token_symbol}
 Ushuuru: %{tax} %{token_symbol}
0. Uya nyuma","CON Dong mari en:
 Dong: %{available_balance} %{token_symbol}
 osuru: %{tax} %{token_symbol}
0. Dog chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
0. Dheebi"
account_balances.with_rewards,"CON Your balances are as follows:
balance: %{available_balance} %{token_symbol}
fees: %{tax} %{token_symbol}
rewards: %{bonus} %{token_symbol}
0. Back","CON Salio zako ni zifuatazo:
  salio: %{available_balance} %{token_symbol}
  ushuru: %{tax} %{token_symbol}
  tuzo: %{bonus} %{token_symbol}
0. Rudi","CON Utyalo waku ni uu:
 Utyalo: %{available_balance} %{token_symbol}
 Tax/ushuru: %{tax} %{token_symbol}
 muthinzio: %{bonus} %{token_symbol}
0. Syoka itina","CON Salio zako ni zifuatazo:
 salio: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
 tuzo: %{bonus} %{token_symbol}
0. coka thutha","CON Sazoro ni rituwiraro:
 Sazo: %{available_balance} %{token_symbol}
 Ushuuru: %{tax} %{token_symbol}
 Zawadi: %{bonus} %{token_symbol}
0. Uya Nyuma","CON Dong mari en:
 Dong: %{available_balance} %{token_symbol}
 osuru: %{tax} %{token_symbol}
 mich: %{bonus} %{token_symbol}
0. Dog chien","CON Balansi kake akan
 salio: %{available_balance} %{token_symbol}
 ushuru: %{tax} %{token_symbol}
 tuzo: %{bonus} %{token_symbol}
0. Dheebi"
first_transaction_set,"CON %{first_transaction_set}

0. Back
11. Next
00. Exit","CON %{first_transaction_set}

0. Rudi
11. Mbele
00. Ondoka","CON %{first_transaction_set}
1. Mbee
00. Ondoka","CON %{first_transaction_set}
1. Mbere
00. uma","CON %{first_transaction_set}
1. Mbere
00. Uka","CON %{first_transaction_set}
1. Nyime
00. Wuogi","CON %{first_transaction_set}
1. Dhuur
00. Bai"
middle_transaction_set,"CON %{middle_transaction_set}
11. Next
22. Previous
00. Exit","CON %{middle_transaction_set}
11. Mbele
22. Rudi
00. Ondoka","CON %{middle_transaction_set}
1. Mbee
2. Itina
00. Ondoka","CON %{middle_transaction_set}
1. Mbere
2. coka thutha
00. Uma","CON %{middle_transaction_set}
1. Mbere
2. Uya nyuma
00. Uka","CON %{middle_transaction_set}
1. Nyime
2. Dog chien
00. Wuogi","CON %{middle_transaction_set}
1. Dhuur
2. Dheebi
00. Bai"
last_transaction_set,"CON %{last_transaction_set}
22. Previous
00. Exit","CON %{last_transaction_set}
22. Rudi
00. Ondoka","CON %{last_transaction_set}
2. Itina
00. Ondoka","CON %{last_transaction_set}
2. Coka thutha
00. Uma","CON %{last_transaction_set}
2. Uya Nyuma
00. Uka","CON %{last_transaction_set}
2. Dog chien
00. Wuogi","CON %{last_transaction_set}
2. Dhuur
00. Bai"
exit,END Thank you for using the service.,END Asante kwa kutumia huduma.,END Ni muvea kwa kutumia huduma ii.,END  Thegio ni kuhuthira mutabo,END. Namvera kwa mahumizi ga ii huduma.,END Erokamano kuom tiyo kodwa.,END Asante kwa kutumia huduma.
exit_invalid_request,END Invalid request.,END Chaguo si sahihi.,END Usakuo waku uyaile.,END shaguro riaku ti riega,END. Tsagulo karisawa sawa,END Yiero okni kare,END Ka at chaquad suninit
